,angDist,main_type,col1,ra.1,dec.1,obsid,name,cluster,silhouette_prob,silhouette
40825,1.98583,X,24914,201.3785412006,-43.0116322765,8490,2CXO J132530.8-430041,0,0.5146259225309865,0.0292518450619729
40826,1.98583,X,24915,201.3785412006,-43.0116322765,962,2CXO J132530.8-430041,0,0.5078354452711715,0.0156708905423429
40827,0.969047,X,24916,201.37853438522188,-43.012123825804125,7800,2CXO J132530.8-430043,0,0.5568060765050578,0.1136121530101154
40828,0.969047,X,24917,201.37853438522188,-43.012123825804125,2978,2CXO J132530.8-430043,0,0.6335644827436872,0.2671289654873743
40829,0.969047,X,24918,201.37853438522188,-43.012123825804125,3965,2CXO J132530.8-430043,0,0.5464670098768766,0.092934019753753
40830,0.969047,X,24919,201.37853438522188,-43.012123825804125,10722,2CXO J132530.8-430043,1,0.5305297122793982,0.0610594245587963
40831,0.969047,X,24920,201.37853438522188,-43.012123825804125,8489,2CXO J132530.8-430043,0,0.5654567627337861,0.1309135254675721
40832,0.969047,X,24921,201.37853438522188,-43.012123825804125,7799,2CXO J132530.8-430043,0,0.502503689342157,0.0050073786843139
40833,0.969047,X,24922,201.37853438522188,-43.012123825804125,7798,2CXO J132530.8-430043,0,0.595093264562386,0.190186529124772
40834,0.969047,X,24923,201.37853438522188,-43.012123825804125,8490,2CXO J132530.8-430043,0,0.5146259225309865,0.0292518450619729
40835,0.969047,X,24924,201.37853438522188,-43.012123825804125,962,2CXO J132530.8-430043,0,0.5078354452711715,0.0156708905423429
40836,0.618417,X,24928,201.3794749622623,-43.18528422392171,7797,2CXO J132531.0-431107,5,0.6757981543097571,0.3515963086195142
40837,0.618417,X,24929,201.3794749622623,-43.18528422392171,8490,2CXO J132531.0-431107,2,0.4973960482844087,-0.0052079034311826
40838,0.618417,X,24930,201.3794749622623,-43.18528422392171,962,2CXO J132531.0-431107,5,0.5676872304578615,0.135374460915723
40839,0.618417,X,24931,201.3794749622623,-43.18528422392171,8489,2CXO J132531.0-431107,5,0.6567162402839782,0.3134324805679565
40840,0.062194,GlCl,24939,201.381645525169,-43.0007700708771,962,2CXO J132531.5-430002,5,0.5609620915735575,0.121924183147115
40842,0.062194,GlCl,24940,201.381645525169,-43.0007700708771,8489,2CXO J132531.5-430002,3,0.5538385420928265,0.1076770841856529
40844,0.062194,GlCl,24941,201.381645525169,-43.0007700708771,7797,2CXO J132531.5-430002,2,0.5640747797562531,0.1281495595125061
40846,0.693185,X,24942,201.3815045488668,-43.009228493128255,3965,2CXO J132531.5-430033,2,0.5149814257393659,0.0299628514787318
40848,0.693185,X,24943,201.3815045488668,-43.009228493128255,10722,2CXO J132531.5-430033,2,0.5777136186155618,0.1554272372311236
40850,0.693185,X,24944,201.3815045488668,-43.009228493128255,2978,2CXO J132531.5-430033,5,0.6201334453313243,0.2402668906626487
40852,0.693185,X,24945,201.3815045488668,-43.009228493128255,7800,2CXO J132531.5-430033,5,0.6371904998300829,0.2743809996601659
40854,0.693185,X,24946,201.3815045488668,-43.009228493128255,7799,2CXO J132531.5-430033,5,0.6346347517315,0.2692695034629999
40856,0.693185,X,24947,201.3815045488668,-43.009228493128255,7798,2CXO J132531.5-430033,2,0.5321847879416601,0.0643695758833203
40858,0.693185,X,24948,201.3815045488668,-43.009228493128255,8490,2CXO J132531.5-430033,5,0.6063132464997633,0.2126264929995265
40860,0.693185,X,24949,201.3815045488668,-43.009228493128255,962,2CXO J132531.5-430033,5,0.6549891872390251,0.3099783744780501
40862,0.222348,X,24950,201.38207259749265,-43.01027586036872,7800,2CXO J132531.6-430036,2,0.4979355204530126,-0.0041289590939747
40864,0.690344,X,24951,201.3837186207262,-43.0104496454066,7800,2CXO J132532.0-430037,2,0.5790574745504313,0.1581149491008626
40865,0.690344,X,24952,201.3837186207262,-43.0104496454066,3965,2CXO J132532.0-430037,3,0.6216295683269432,0.2432591366538863
40866,0.690344,X,24953,201.3837186207262,-43.0104496454066,2978,2CXO J132532.0-430037,3,0.4966423944443897,-0.0067152111112206
