,name,obsid,main_type,BYDra,Candidate_YSO,Orion_V*,TTau*,YSO
7341,2CXO J053516.3-052403,4373,Orion_V*,0.11525527423276175,0.10872904799700876,0.5304949347247978,0.0250260591157576,0.2204946839296741
7415,2CXO J053516.9-053246,3744,Orion_V*,0.0575917281651885,0.07581033986202013,0.38381829117409816,0.14869660878432617,0.3340830320143672
7416,2CXO J053516.9-053246,4373,Orion_V*,0.06312944076183118,0.07987955786526009,0.38355515733435236,0.1318200741459085,0.34161576989264786
7419,2CXO J053516.9-053246,4396,Orion_V*,0.08021579929470783,0.14962571704126562,0.3118671801179149,0.17595964758728364,0.28233165595882803
7450,2CXO J053517.1-052249,4396,YSO,0.2028205536556648,0.21206701250782864,0.23518469033600656,0.075570136473293,0.27435760702720713
7451,2CXO J053517.1-052249,6419,BYDra,0.6094392749658539,0.14489404693968086,0.1558908035693988,0.030611183188909156,0.05916469133615721
7473,2CXO J053517.3-052203,4373,Candidate_YSO,0.4217332366987453,0.46669536039193554,0.0175334577896496,0.08249763796863455,0.01154030715103512
7486,2CXO J053517.4-052105,4373,YSO,0.1271486014969167,0.15511990646538307,0.1330667444564418,0.12148995834876082,0.46317478923249766
7489,2CXO J053517.4-052320,13637,YSO,0.06453526670657857,0.10059668613160759,0.28627026699556785,0.1609751634142047,0.3876226167520412
7495,2CXO J053517.4-052320,4374,Orion_V*,0.10552346621257026,0.10500382960112313,0.3911384706080738,0.061651718593802626,0.3366825149844302
7521,2CXO J053517.6-052153,4373,Orion_V*,0.14411994649029267,0.15847628662359586,0.3344112547351424,0.0529007890432891,0.31009172310768
7531,2CXO J053517.7-052230,6419,BYDra,0.6094392749658539,0.14489404693968086,0.1558908035693988,0.030611183188909156,0.05916469133615721
7532,2CXO J053517.7-052342,1522,Candidate_YSO,0.3654665984069492,0.379924969135175,0.014709815174111204,0.16356882396105843,0.0763297933227062
7538,2CXO J053517.8-052053,4374,Candidate_YSO,0.17360060038115907,0.30176716030774275,0.14440371870496277,0.20930182090175148,0.17092669970438396
7585,2CXO J053518.0-052400,4396,YSO,0.09121643569585894,0.17453376454175476,0.22331231981691568,0.1347086373496561,0.37622884259581457
7614,2CXO J053518.3-052020,4374,Orion_V*,0.06868817516184436,0.11631557560964056,0.32946996259064015,0.20060518902903507,0.2849210976088399
7667,2CXO J053518.7-052201,4373,Orion_V*,0.039725458066440546,0.07089755838554707,0.36334228057632406,0.1765597698649295,0.34947493310675876
7679,2CXO J053518.8-052141,4395,Orion_V*,0.05679639305782542,0.05893027259078435,0.4310815434878642,0.15600533553635756,0.2971864553271685
7680,2CXO J053518.8-052141,4373,Candidate_YSO,0.3103804460868604,0.3164796653874355,0.30873505747489216,0.029779060803076345,0.03462577024773558
7682,2CXO J053518.8-052141,4374,Orion_V*,0.15785242790031992,0.14618863894394493,0.5104163793559874,0.06744556633368594,0.11809698746606177
7736,2CXO J053519.6-052303,4395,YSO,0.049494259943578825,0.1307531912922305,0.2528492984802134,0.11451183158890003,0.4523914186950772
7782,2CXO J053520.0-052226,4374,YSO,0.0842592813895013,0.10111753536069419,0.2105744162471906,0.05481314147774737,0.5492356255248665
7790,2CXO J053520.1-051314,4374,YSO,0.15228114224045408,0.239595328580146,0.12374463385434642,0.16697734322331095,0.3174015521017425
7821,2CXO J053520.3-052213,3744,Orion_V*,0.06053550008987821,0.07262950181487504,0.37339207139731123,0.16502264755486198,0.3284202791430736
7825,2CXO J053520.3-052213,4374,Orion_V*,0.04488226400962688,0.09253815584179771,0.4284422424251935,0.08872094880185197,0.34541638892152987
7826,2CXO J053520.3-052617,1522,Candidate_YSO,0.2301174908766582,0.3973461110416531,0.05720667018571417,0.18474233597303014,0.13058739192294433
7827,2CXO J053520.3-052617,4373,YSO,0.15152551129851202,0.19835454623848514,0.16257729218430753,0.24220139095929458,0.2453412593194007
7842,2CXO J053520.4-052329,13637,Orion_V*,0.11870711907940208,0.15586188353882768,0.3252807101939344,0.13919835293776175,0.26095193425007407
7844,2CXO J053520.4-052329,14335,BYDra,0.30383194345360537,0.3002402981043543,0.21942499534386242,0.03827857622539868,0.1382241868727792
7845,2CXO J053520.4-052329,3744,YSO,0.09232842020827232,0.09102309140627272,0.3528463332006252,0.09886384432948013,0.3649383108553497
7850,2CXO J053520.4-052329,4374,YSO,0.07207615530162276,0.1009909377253498,0.3270340341440067,0.09247120593454178,0.40742766689447896
7886,2CXO J053520.7-051548,15546,YSO,0.1256926213300542,0.15318466759723223,0.20512335549361,0.24654595713108682,0.2694533984480167
