,name,obsid,main_type,PartofG,Pulsar,Radio,Seyfert_2,YSO
15965,2CXO J132527.9-430105,7798,Seyfert_2,0.12721745925339212,0.14909713353995785,0.18489374884940818,0.40710285764402104,0.1316888007132208
15967,2CXO J132527.9-430105,7800,Radio,0.18282450506358466,0.24538571238671045,0.2673374237766017,0.083675313895931,0.2207770448771722
15974,2CXO J132528.3-430103,7798,Seyfert_2,0.12721745925339212,0.14909713353995785,0.18489374884940818,0.40710285764402104,0.1316888007132208
15976,2CXO J132528.3-430103,7800,Radio,0.18282450506358466,0.24538571238671045,0.2673374237766017,0.083675313895931,0.2207770448771722
16077,2CXO J132531.5-430033,2978,Seyfert_2,0.14649045224133977,0.19733920507676658,0.2304221169281788,0.23118522542507264,0.19456300032864218
16163,2CXO J132538.3-430205,10722,Radio,0.19770071561371252,0.25775003376605654,0.26281199692347934,0.03541872423172017,0.2463185294650314
16167,2CXO J132538.3-430205,8489,YSO,0.19284596650329883,0.25224605683788304,0.25067605127067444,0.04525679185203091,0.25897513353611273
16170,2CXO J132538.4-430203,10722,Radio,0.19770071561371252,0.25775003376605654,0.26281199692347934,0.03541872423172017,0.2463185294650314
16174,2CXO J132538.4-430203,8489,YSO,0.19284596650329883,0.25224605683788304,0.25067605127067444,0.04525679185203091,0.25897513353611273
16280,2CXO J132620.3-473002,13726,Radio,0.19698754076750755,0.25712823126237644,0.2639570232967584,0.03846317352886763,0.24346403114449008
16751,2CXO J134209.7+282247,4543,Pulsar,0.1937682810252224,0.26533814720041,0.26355544991302543,0.02951096076360889,0.24782716109773345
16760,2CXO J134442.0+555312,809,Seyfert_2,0.09778431918944391,0.13177776804934782,0.13861970445274072,0.520816312890728,0.11100189541773943
16890,2CXO J135916.0-192621,9378,Pulsar,0.1879417170638336,0.2502033094256183,0.24951650893392782,0.08265061336511323,0.2296878512115071
16914,2CXO J140123.7+541522,5322,Pulsar,0.19010918488219616,0.2622270726764815,0.25317617389893926,0.06634287678248164,0.22814469175990146
16939,2CXO J140207.8+541033,6114,Pulsar,0.19997272915776837,0.267548661699561,0.26406252618823656,0.020639659588106006,0.2477764233663279
17133,2CXO J140846.0-610754,15789,Seyfert_2,0.15148926785110164,0.20153979947196485,0.197671674044933,0.2567177409824816,0.1925815176495188
17162,2CXO J141239.0-652332,365,Pulsar,0.18628576877127812,0.24656168670702852,0.24499707299374127,0.09790556601602309,0.22424990551192905
17171,2CXO J141309.7-652020,10937,Seyfert_2,0.13705066574631308,0.17931923754394927,0.18089526382694882,0.3579797619187012,0.1447550709640877
17176,2CXO J141309.9-652020,12823,Seyfert_2,0.10597998068395312,0.14036836505418657,0.1430871358939585,0.4980003648010811,0.11256415356682067
17177,2CXO J141309.9-652020,365,Radio,0.1737895447233334,0.23248776933961396,0.2445075595669183,0.1468806408107967,0.20233448555933758
17178,2CXO J141309.9-652020,2454,Seyfert_2,0.1002351805472158,0.13392896463696372,0.13621835752212832,0.5151454287434749,0.1144720685502172
17179,2CXO J141309.9-652020,356,Seyfert_2,0.12223116400244675,0.17066504334368604,0.1656591119335347,0.4011930502266245,0.14025163049370806
17180,2CXO J141309.9-652020,12824,Seyfert_2,0.10399182958053235,0.14938888073831516,0.1464035674259986,0.48311618405889895,0.11709953819625481
17181,2CXO J141309.9-652020,10937,Seyfert_2,0.13705066574631308,0.17931923754394927,0.18089526382694882,0.3579797619187012,0.1447550709640877
17191,2CXO J141312.0-652024,12823,Pulsar,0.1707339453807303,0.2352492172364893,0.23421099018684297,0.14122468449127512,0.2185811627046622
17192,2CXO J141312.1-652007,12823,YSO,0.17737474985109639,0.23342423000266974,0.23385438336540526,0.11536289544300536,0.23998374133782308
17197,2CXO J141337.6-652454,12823,Seyfert_2,0.15393307461945627,0.20556167533141376,0.2008582676116296,0.24583577907236567,0.19381120336513466
17501,2CXO J142115.3+530158,5846,Radio,0.1908707422878297,0.25114193584068967,0.26296627519175075,0.05863746806536147,0.2363835786143684
17532,2CXO J142331.7+235156,4195,Pulsar,0.1784375696844997,0.24835502448548702,0.2430774199174336,0.11466361293415452,0.21546637297842502
17672,2CXO J143308.3-611540,9053,Pulsar,0.18473621992556952,0.22468347002843758,0.2220520327034054,0.17681225932878072,0.1917160180138069
17745,2CXO J144557.6-445203,627,Radio,0.19738495865426672,0.2589186382095419,0.26586186426462755,0.04068245251366702,0.23715208635789686
17892,2CXO J150035.5+782136,11792,Radio,0.17335055544922154,0.2299014112576559,0.2409024734055744,0.1426177268120243,0.21322783307552373
17958,2CXO J150211.6-420429,13742,Radio,0.17905297160377612,0.21883645269977622,0.22469341804179652,0.1763045289359115,0.20111262871873958
17975,2CXO J150245.3-413750,13743,Radio,0.17945484490670563,0.23620324026973313,0.2836921992507053,0.08475067564038391,0.21589903993247203
18110,2CXO J151335.1-590131,6117,Pulsar,0.18992768566346355,0.26770511038936495,0.24868662316223403,0.05950400119505084,0.23417657958988664
18115,2CXO J151339.8-590248,4384,Pulsar,0.1950922720175307,0.2632909757582833,0.2557970568254124,0.04959916484063478,0.23622053055813882
18153,2CXO J151346.5-590047,4384,Pulsar,0.19504521896756438,0.2716936805080136,0.25770656160934335,0.03437459057051171,0.24117994834456694
18161,2CXO J151349.2-590131,6117,Pulsar,0.19188705879127213,0.2671128959944653,0.25440275890394104,0.05190253216578152,0.23469475414454005
18163,2CXO J151349.2-590131,4384,Pulsar,0.198037291643938,0.2657342763579718,0.2594003554738764,0.03948502106307732,0.2373430554611364
18168,2CXO J151349.2-590134,6117,Pulsar,0.19188705879127213,0.2671128959944653,0.25440275890394104,0.05190253216578152,0.23469475414454005
18170,2CXO J151349.2-590134,4384,Pulsar,0.198037291643938,0.2657342763579718,0.2594003554738764,0.03948502106307732,0.2373430554611364
18175,2CXO J151349.6-590136,6117,Pulsar,0.19188705879127213,0.2671128959944653,0.25440275890394104,0.05190253216578152,0.23469475414454005
18177,2CXO J151349.6-590136,4384,Pulsar,0.198037291643938,0.2657342763579718,0.2594003554738764,0.03948502106307732,0.2373430554611364
18184,2CXO J151349.7-590133,6117,Pulsar,0.19188705879127213,0.2671128959944653,0.25440275890394104,0.05190253216578152,0.23469475414454005
18186,2CXO J151349.7-590133,4384,Pulsar,0.198037291643938,0.2657342763579718,0.2594003554738764,0.03948502106307732,0.2373430554611364
18195,2CXO J151355.6-590809,3834,Radio,0.18726431642802577,0.24028016571539426,0.2482445422917889,0.12115194936881037,0.20305902619598062
18196,2CXO J151355.6-590809,4384,Radio,0.18358188760526056,0.23776162545717638,0.24321208568297334,0.11621681061309987,0.21922759064148983
18224,2CXO J151631.7+065852,10879,Seyfert_2,0.15382827357796916,0.19336017982298262,0.19993495982765885,0.27741347290027857,0.1754631138711107
18317,2CXO J153143.2+240421,3138,Seyfert_2,0.13983964877276683,0.2024391444691064,0.20928952865362052,0.27918011054320685,0.16925156756129942
18418,2CXO J154957.3-035511,981,Pulsar,0.1970598376552144,0.26856819379069496,0.2636556926055092,0.02727936918483862,0.2434369067637428
18515,2CXO J160103.1-513353,6687,Pulsar,0.19606391538886964,0.25587832912550523,0.2553025689248834,0.05299994185093171,0.23975524470981013
18597,2CXO J161139.9+115754,13654,Radio,0.15873545397990457,0.2245832599863327,0.31761602491954594,0.0919286772695746,0.20713658384464226
18621,2CXO J161336.4-605206,8178,Pulsar,0.16893948046946183,0.23558141680245737,0.22224159755832879,0.1736057642148068,0.199631740954945
18661,2CXO J161736.2-510224,2316,Pulsar,0.18905742888551785,0.24843991135350843,0.2455897079430445,0.08753844826510541,0.2293745035528238
18664,2CXO J161736.2-510224,2314,Pulsar,0.18815613100094578,0.2533560283617537,0.24657882710112733,0.08152882569899673,0.23038018783717637
18670,2CXO J161736.2-510224,5595,Pulsar,0.18660081274168627,0.24318802781571017,0.2404921231048883,0.1063756344201636,0.22334340191755173
18811,2CXO J163219.8-474729,10088,Seyfert_2,0.13956319008039092,0.18223542702795387,0.19827664195969355,0.3176457342962259,0.16227900663573577
18912,2CXO J164058.0+400328,3575,Pulsar,0.19242643797562256,0.2694015054051792,0.26380841534159244,0.028749401731677313,0.24561423954592856
19148,2CXO J170207.0+341338,4179,Pulsar,0.1923703036488404,0.26401646965454206,0.2469315957424588,0.06585814624951918,0.23082348470463934
19172,2CXO J170438.7+603654,2128,Radio,0.19763306518738263,0.264003891450161,0.26927022427602887,0.02043196924591135,0.24866084984051628
19211,2CXO J171236.7-373841,13234,Radio,0.18460324259902067,0.24591132453076806,0.24837502627761188,0.09068243602151252,0.230427970571087
19224,2CXO J171405.7-381030,6692,Pulsar,0.19606284649172742,0.26990680294608416,0.25734471160331734,0.03391688497128886,0.24276875398758216
19526,2CXO J173040.2-212920,6716,Pulsar,0.19817766460164052,0.2785629114763424,0.25458696474687953,0.030658526496520646,0.23801393267861684
19693,2CXO J174157.2-205412,15544,Radio,0.20226659896804575,0.22416758730533337,0.2938288560443993,0.08146660106453318,0.19827035661768838
19743,2CXO J174445.4-295045,13807,Pulsar,0.20734172140845272,0.26666581541851236,0.261303552130035,0.02226388723311718,0.24242502380988276
19791,2CXO J174535.6-290133,6605,Pulsar,0.1737803695350178,0.24918930757236496,0.22883497433470565,0.14621682626776566,0.201978522290146
19792,2CXO J174535.6-290133,6603,Radio,0.20362920868183013,0.26294072016452086,0.26522614512987475,0.021795881329171856,0.24640804469460248
19793,2CXO J174535.6-290133,6604,Pulsar,0.18859659494517195,0.2436523995704492,0.24109962503451648,0.14013482304444944,0.18651655740541287
19794,2CXO J174535.6-290133,6602,Radio,0.16548406442184707,0.24090492353529325,0.28103196008589876,0.11009394960731449,0.20248510234964645
19795,2CXO J174535.6-290133,6606,Pulsar,0.20275883210496431,0.2655721491265572,0.26370580461850074,0.023870913935559766,0.24409230021441794
19825,2CXO J174545.2-285828,14897,Radio,0.11440015798801544,0.1611646931985139,0.4770219188937019,0.10748239456350407,0.13993083535626458
19828,2CXO J174545.2-285829,14897,Radio,0.11440015798801544,0.1611646931985139,0.4770219188937019,0.10748239456350407,0.13993083535626458
19829,2CXO J174545.5-285828,14897,Radio,0.11440015798801544,0.1611646931985139,0.4770219188937019,0.10748239456350407,0.13993083535626458
19831,2CXO J174546.1-285831,14897,Radio,0.11440015798801544,0.1611646931985139,0.4770219188937019,0.10748239456350407,0.13993083535626458
19832,2CXO J174550.4-284922,4500,Seyfert_2,0.1439769276943717,0.1877213010783309,0.18991438145226847,0.30952108880632034,0.1688663009687086
19866,2CXO J174638.0-285325,9174,Radio,0.1855063731569682,0.2596026595940867,0.2703512885115092,0.047498437601022896,0.23704124113641312
19867,2CXO J174638.0-285325,9173,Radio,0.18613315326707486,0.2656943878169177,0.2662332288870146,0.05516703750838864,0.2267721925206043
19902,2CXO J174725.2-300216,14520,Radio,0.16179103570561623,0.22128339147549622,0.22854101685640868,0.18539944619208432,0.20298510977039452
19906,2CXO J174726.0-300241,8744,Radio,0.20488097147404663,0.2475785864299453,0.2536054625525785,0.06874788549898501,0.22518709404444462
19907,2CXO J174726.0-300241,14519,Pulsar,0.20245900847039286,0.2695070993378766,0.26076168963745494,0.021670831737303647,0.24560137081697206
19908,2CXO J174726.0-300241,14520,Radio,0.19437912149090344,0.21738624099457093,0.23239859465744278,0.1652013527604683,0.19063469009661457
