,name,obsid,main_type,HMXB,Orion_V*,QSO,TTau*,YSO
7461,2CXO J053517.2-052316,4373,HMXB,0.34332482164145606,0.08381848372797931,0.24793847083486115,0.195876505946817,0.12904171784888654
7462,2CXO J053517.2-052316,4396,HMXB,0.4237882989734296,0.07806649220528541,0.22714831126919455,0.1941552748404627,0.07684162271162776
7463,2CXO J053517.2-052316,4374,HMXB,0.492359255387732,0.12471069071902574,0.1413152960728814,0.13331303224732421,0.10830172557303663
7522,2CXO J053517.6-052153,14335,YSO,0.18598006750858453,0.17565685874157685,0.08469463238034555,0.05571008583856764,0.49795835553092543
7523,2CXO J053517.6-052153,1522,Orion_V*,0.1506537751582744,0.3722179838676704,0.08022763774946091,0.10675350695911805,0.2901470962654761
7537,2CXO J053517.8-052053,3744,YSO,0.10306944958406208,0.2881597100904025,0.15922464787774362,0.12008269669065327,0.32946349575713874
7587,2CXO J053518.0-052400,3744,QSO,0.2847587675662388,0.08778407790701624,0.4090706431451333,0.1418705621990524,0.07651594918255929
7828,2CXO J053520.3-052617,4374,YSO,0.1914783319435664,0.21799664803398053,0.10951918589438207,0.1721416877681164,0.3088641463599547
8012,2CXO J053521.8-052355,4374,Orion_V*,0.2130162667345617,0.3158000497135113,0.11229638880446675,0.09702674155766754,0.2618605531897928
8065,2CXO J053522.4-052509,4395,Orion_V*,0.17468055475281802,0.35061839878710804,0.07378038918053696,0.12302399550485046,0.2778966617746865
8068,2CXO J053522.4-052509,4374,Orion_V*,0.08046643157560819,0.3805534221810798,0.10912283264109929,0.19909132335305332,0.23076599024915948
8101,2CXO J053523.0-052459,3744,QSO,0.3568050778830197,0.08180040921758518,0.37379990693165244,0.160129451017213,0.027465154950529768
8102,2CXO J053523.0-052459,4396,HMXB,0.23481431507905848,0.16064952516567368,0.2061006228138982,0.23441558500856208,0.16401995193280755
8114,2CXO J053523.4-052001,4396,YSO,0.10915093016804159,0.15517895598569947,0.05407593424523267,0.06571556744068857,0.6158786121603376
8277,2CXO J053526.9-052400,4374,YSO,0.18912646529106328,0.2567324426716047,0.1336897881840591,0.12755847195830877,0.292892831894964
8602,2CXO J053540.8-064406,4489,YSO,0.10370631105192188,0.14253720922773525,0.11826488040991821,0.3090457407314601,0.3264458585789645
8603,2CXO J053540.9-064408,4489,YSO,0.10370631105192188,0.14253720922773525,0.11826488040991821,0.3090457407314601,0.3264458585789645
8660,2CXO J053555.2-702145,3908,QSO,0.2696779570353589,0.07635470462755733,0.4684848466961481,0.1269112295541358,0.05857126208679986
8683,2CXO J053613.8-063848,12355,Orion_V*,0.21252549367129472,0.315883862639574,0.13857909876521846,0.15799873206203427,0.17501281286187856
8713,2CXO J053710.4-064544,21,HMXB,0.27210706074312646,0.10293104320644698,0.2706022606564275,0.2039365366487455,0.15042309874525361
8716,2CXO J053721.8-691511,1967,QSO,0.19663127180144038,0.002490862436236319,0.7372201768576934,0.06323996368773448,0.00041772521689552495
8790,2CXO J053833.0+262101,8242,Orion_V*,0.1274983160920483,0.3462845404594068,0.1446659367809726,0.15425960939928915,0.2272915972682832
8791,2CXO J053833.4-691158,17486,HMXB,0.513200215137882,0.2024299697302664,0.11697391659512511,0.056753396533527754,0.11064250200319875
8792,2CXO J053833.4-691158,16193,HMXB,0.41122884858944103,0.2457080229145958,0.08903472913966573,0.07000198831105789,0.18402641104523948
8793,2CXO J053833.4-691158,16617,HMXB,0.4070178640774786,0.18691513690767902,0.14962034311917158,0.07999435634229035,0.1764522995533806
8794,2CXO J053833.4-691158,17562,YSO,0.2669911975497438,0.17639721919636486,0.16106607121847416,0.08250349140552134,0.3130420206298959
8795,2CXO J053833.4-691158,17545,HMXB,0.535557373721766,0.1723759234529346,0.12311084888926702,0.07854777301460544,0.09040808092142684
8796,2CXO J053833.4-691158,17312,HMXB,0.5169749999401918,0.13540739206293537,0.13994975878362148,0.08361383972962762,0.12405400948362383
8812,2CXO J053841.5+261716,8242,TTau*,0.14263910730827858,0.1268634585605895,0.19240843870823843,0.3450196271910543,0.19306936823183926
8915,2CXO J053908.3+262121,8242,Orion_V*,0.13850559984869848,0.27335751286015436,0.23807575047448806,0.18352619981293267,0.16653493700372649
8923,2CXO J053923.8+261810,8242,YSO,0.11581168376965785,0.35309266322655347,0.05883156634420345,0.07820881049562334,0.3940552761639621
