,name,obsid,main_type,AGN,HMXB,QSO,SNR,YSO
12861,2CXO J104555.2-595649,9816,YSO,0.13627244024245258,0.00680432452853609,0.08649558909294536,0.08458450950409539,0.6858431366319705
12865,2CXO J104555.6-595649,9816,YSO,0.13627244024245258,0.00680432452853609,0.08649558909294536,0.08458450950409539,0.6858431366319705
12872,2CXO J104557.1-595639,9816,YSO,0.13627244024245258,0.00680432452853609,0.08649558909294536,0.08458450950409539,0.6858431366319705
12883,2CXO J104557.9-595651,9816,YSO,0.13627244024245258,0.00680432452853609,0.08649558909294536,0.08458450950409539,0.6858431366319705
12889,2CXO J104609.9-602635,9856,YSO,0.20204899233573698,0.16624420388496527,0.09778578728031842,0.06224934274211348,0.47167167375686586
12890,2CXO J104609.9-602635,9494,AGN,0.25652845921869455,0.22414163198948614,0.17626867353890302,0.11575828206698412,0.2273029531859323
12975,2CXO J104817.5+123756,4692,AGN,0.34217730719336875,0.08086026693091236,0.3341598193288711,0.19231675684536387,0.05048584970148398
13006,2CXO J104906.5-251019,4868,AGN,0.466379047504676,0.0037457133198669714,0.1416180284877858,0.3741161314298474,0.014141079257823807
13057,2CXO J105449.6-484103,9953,QSO,0.31014937058490644,0.21778726587665098,0.31869366955006934,0.06475844022307986,0.08861125376529345
13065,2CXO J105646.2-034023,512,QSO,0.255364010909981,0.12032249511489412,0.37820245407874065,0.13152164032913327,0.11458939956725112
13073,2CXO J105719.4-522200,13789,HMXB,0.2681980050265298,0.3984519383120744,0.1859338554312639,0.06965454101436007,0.07776166021577198
13107,2CXO J110423.1-585445,8941,AGN,0.42825290451902354,0.19975187769240035,0.12445834055676813,0.0960702574328778,0.15146661979893022
13112,2CXO J110439.8-584701,8941,HMXB,0.21027004254670298,0.24314611630903474,0.22874925080429415,0.0764771928229748,0.24135739751699323
13113,2CXO J110441.4-584352,8941,QSO,0.31729836918636306,0.1741133839767801,0.34194710539302914,0.08097438715109956,0.085666754292728
13157,2CXO J111005.0+015841,8251,AGN,0.3618807725916098,0.1863263056858742,0.25189049618908194,0.13827017259920663,0.06163225293422735
